epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,6314.82,1.69924,1.5422,1.82997,0.78284,0.44856,0.49962,0.26898,1.6363,1.46206,1.85049,0.000325526,0.000325526,0.000325526
80,6396.16,1.69087,1.5827,1.82787,0.81694,0.43349,0.49265,0.26378,1.62908,1.4643,1.82649,0.000311379,0.000311379,0.000311379
81,6475.04,1.68018,1.46294,1.78502,0.8033,0.4161,0.49011,0.26527,1.61806,1.45785,1.81525,0.000297232,0.000297232,0.000297232
82,6551.03,1.68582,1.50772,1.81887,0.77038,0.41808,0.49357,0.26504,1.61674,1.44587,1.81187,0.000283085,0.000283085,0.000283085
83,6622.68,1.65685,1.49291,1.80356,0.79206,0.44618,0.48832,0.26504,1.59506,1.43763,1.8027,0.000268938,0.000268938,0.000268938
84,6696.45,1.64851,1.49377,1.78963,0.83282,0.43314,0.50825,0.27992,1.58966,1.38028,1.80667,0.000254791,0.000254791,0.000254791
85,6774.06,1.64124,1.43642,1.78401,0.79639,0.47624,0.53046,0.28496,1.60878,1.35736,1.82652,0.000240644,0.000240644,0.000240644
86,6848.29,1.70221,1.53205,1.88384,0.80168,0.45277,0.50121,0.27086,1.59786,1.41927,1.81839,0.000226497,0.000226497,0.000226497
87,6920.48,1.64885,1.458,1.80762,0.805,0.43323,0.47866,0.25117,1.64963,1.46026,1.85266,0.000212349,0.000212349,0.000212349
88,6993.12,1.67708,1.45208,1.79561,0.81815,0.46036,0.52331,0.28197,1.59015,1.37903,1.81817,0.000198202,0.000198202,0.000198202
89,7064.95,1.64061,1.42524,1.79678,0.79485,0.46794,0.53553,0.29168,1.58393,1.37677,1.80659,0.000184055,0.000184055,0.000184055
90,7135.29,1.64656,1.44069,1.77924,0.80882,0.48217,0.52419,0.28517,1.59933,1.38868,1.8187,0.000169908,0.000169908,0.000169908
91,7205.63,1.63709,1.65241,1.83582,0.80755,0.46247,0.53501,0.28611,1.6056,1.4239,1.81819,0.000155761,0.000155761,0.000155761
92,7277.02,1.62836,1.58119,1.81222,0.80549,0.42592,0.51224,0.2628,1.67448,1.51209,1.88414,0.000141614,0.000141614,0.000141614
93,7346.42,1.5976,1.48714,1.76379,0.81925,0.44873,0.53471,0.28978,1.64782,1.4738,1.8641,0.000127467,0.000127467,0.000127467
94,7416.21,1.60691,1.47,1.78683,0.831,0.46669,0.54886,0.30228,1.6228,1.41656,1.84438,0.00011332,0.00011332,0.00011332
95,7486.06,1.67061,1.49136,1.83323,0.82525,0.44995,0.54342,0.30257,1.59219,1.39565,1.8223,9.91726e-05,9.91726e-05,9.91726e-05
96,7555.02,1.60297,1.46508,1.7725,0.80252,0.48526,0.54477,0.29813,1.59444,1.38866,1.8291,8.50255e-05,8.50255e-05,8.50255e-05
97,7624.59,1.54642,1.38976,1.73271,0.84833,0.45226,0.53799,0.29145,1.59299,1.39158,1.8258,7.08784e-05,7.08784e-05,7.08784e-05
98,7693.58,1.58744,1.4124,1.77705,0.81451,0.48738,0.54011,0.28951,1.60073,1.39992,1.83299,5.67313e-05,5.67313e-05,5.67313e-05
99,7766.61,1.58398,1.40025,1.78235,0.80941,0.48282,0.54532,0.29162,1.60761,1.40374,1.83592,4.25842e-05,4.25842e-05,4.25842e-05
100,7839.03,1.57009,1.40855,1.76081,0.82845,0.45339,0.54534,0.29742,1.59799,1.39973,1.82693,2.84371e-05,2.84371e-05,2.84371e-05
1,73.8555,3.663,4.13798,4.25683,0.00052,0.0303,0.00039,8e-05,3.53971,4.24853,4.15774,0.00017148,0.00017148,0.00017148
2,147.877,3.64518,4.04645,4.19052,0.00214,0.12121,0.00153,0.00037,3.53189,4.24426,4.1513,0.000353713,0.000353713,0.000353713
3,222.219,3.62528,3.89323,4.12989,0.00212,0.10985,0.00151,0.00042,3.50762,4.23296,4.12769,0.000532268,0.000532268,0.000532268
4,293.525,3.56585,3.67972,4.03833,0.00225,0.11742,0.00321,0.00072,3.4672,4.24132,4.09292,0.000707145,0.000707145,0.000707145
5,361.188,3.42026,3.57148,3.89912,0.00137,0.06061,0.00181,0.00043,3.51832,4.31896,4.10014,0.000878343,0.000878343,0.000878343
